date,sun_h,min_temp,max_temp,delta_temp
1986-01-19,1.0269230769230768,1.0533333333333335,9.746666666666666,8.693333333333333
1986-01-20,3.312820512820513,0.01999999999999996,7.433333333333333,7.413333333333333
1986-01-21,6.306410256410256,-2.2866666666666666,5.553333333333334,7.84
1986-01-22,2.5576923076923075,-0.37333333333333324,5.38,5.753333333333333
1986-01-23,0.011538461538461537,1.2333333333333334,7.1466666666666665,5.913333333333333
1986-01-24,1.335897435897436,-1.6466666666666667,5.693333333333334,7.340000000000001
1986-01-25,1.4333333333333333,-2.1533333333333338,0.9400000000000001,3.0933333333333337
1986-01-26,2.5961538461538463,-5.286666666666666,0.8533333333333333,6.14
1986-01-27,6.183333333333334,-8.773333333333335,-1.8333333333333333,6.940000000000002
1986-01-28,2.0692307692307694,-7.0666666666666655,2.386666666666667,9.453333333333333
1986-01-29,1.1128205128205129,-3.7333333333333334,3.4866666666666664,7.22
1986-01-30,2.144871794871795,-2.3666666666666667,4.506666666666666,6.873333333333333
1986-01-31,0.14487179487179486,-1.1666666666666667,5.246666666666667,6.413333333333334
1986-02-01,0.4230769230769231,-1.1733333333333333,2.7,3.8733333333333335
1986-02-02,0.6102564102564102,-1.62,2.36,3.98
1986-02-03,2.3,-1.48,2.7400000000000007,4.220000000000001
1986-02-04,1.258974358974359,-2.5266666666666664,1.533333333333333,4.06
1986-02-05,0.9692307692307692,-3.1333333333333337,0.12666666666666665,3.2600000000000002
1986-02-06,0.41794871794871796,-2.1600000000000006,0.44,2.6000000000000005
1986-02-07,0.7538461538461539,-4.1866666666666665,-0.29333333333333333,3.893333333333333
1986-02-08,2.3384615384615386,-8.68,-3.426666666666667,5.253333333333332
1986-02-09,2.0153846153846153,-11.293333333333331,-7.4799999999999995,3.8133333333333317
1986-02-10,1.258974358974359,-13.506666666666664,-8.26,5.246666666666664
1986-02-11,3.0564102564102567,-13.26,-4.879999999999999,8.38
1986-02-12,2.5025641025641026,-9.706666666666669,-3.026666666666666,6.680000000000003
1986-02-13,3.8807692307692307,-9.88,-2.466666666666667,7.413333333333334
1986-02-14,1.5884615384615384,-7.793333333333334,0.4399999999999999,8.233333333333334
1986-02-15,1.6756410256410255,-5.306666666666667,2.2866666666666666,7.593333333333334
1986-02-16,4.121794871794872,-2.4799999999999995,4.433333333333334,6.913333333333333
1986-02-17,1.3833333333333333,-2.946666666666667,3.806666666666667,6.753333333333334
1986-02-18,1.3884615384615384,-3.0,4.24,7.24
1986-02-19,0.0,-3.4266666666666663,-0.07333333333333328,3.353333333333333
1986-02-20,1.6410256410256412,-5.02,-1.0399999999999996,3.98
1986-02-21,3.6076923076923078,-7.360000000000001,0.08666666666666684,7.446666666666668
1986-02-22,5.580769230769231,-8.086666666666668,1.9400000000000002,10.026666666666667
1986-02-23,0.9423076923076923,-3.44,1.68,5.12
1986-02-24,1.2961538461538462,-4.5200000000000005,-0.040000000000000216,4.48
1986-02-25,0.07435897435897436,-6.326666666666665,-2.8933333333333335,3.433333333333332
1986-02-26,2.037179487179487,-7.886666666666668,-3.2199999999999998,4.666666666666668
1986-02-27,2.503846153846154,-9.52,-2.766666666666667,6.753333333333332
1986-02-28,0.3820512820512821,-5.566666666666666,0.17999999999999988,5.746666666666666
1986-03-01,0.09743589743589744,-5.053333333333333,3.4866666666666664,8.54
1986-03-02,2.8448717948717945,-2.7933333333333326,4.786666666666666,7.579999999999998
1986-03-03,0.8487179487179487,-2.1733333333333333,2.42,4.593333333333334
1986-03-04,4.160256410256411,-2.6799999999999997,4.966666666666667,7.6466666666666665
1986-03-05,5.3589743589743595,0.3266666666666666,9.953333333333331,9.626666666666665
1986-03-06,3.673076923076923,0.7600000000000001,9.993333333333334,9.233333333333334
1986-03-07,1.0064102564102564,0.8533333333333334,5.920000000000001,5.066666666666667
1986-03-08,1.1923076923076923,-0.5000000000000002,4.0600000000000005,4.5600000000000005
1986-03-09,5.273076923076923,-0.8066666666666668,6.58,7.386666666666667
1986-03-10,4.9512820512820515,-2.426666666666667,6.1933333333333325,8.62
1986-03-11,3.8448717948717945,-1.7266666666666663,6.706666666666666,8.433333333333332
1986-03-12,0.5115384615384616,0.28,4.04,3.76
1986-03-13,3.287179487179487,0.013333333333333345,6.426666666666667,6.413333333333333
1986-03-14,7.861538461538461,-1.0133333333333332,9.46,10.473333333333334
1986-03-15,5.607692307692307,-0.8266666666666667,8.860000000000001,9.686666666666667
1986-03-16,7.964102564102564,-0.3533333333333333,12.366666666666667,12.72
1986-03-17,7.842307692307693,1.04,12.913333333333336,11.873333333333335
1986-03-18,5.038461538461538,1.62,12.38,10.760000000000002
1986-03-19,0.617948717948718,3.2599999999999993,9.786666666666667,6.526666666666667
1986-03-20,4.296153846153846,2.8600000000000003,10.780000000000001,7.920000000000001
1986-03-21,1.685897435897436,0.33333333333333326,5.92,5.586666666666667
1986-03-22,10.061538461538463,-1.493333333333333,9.12,10.613333333333332
1986-03-23,0.7448717948717949,2.2266666666666666,8.440000000000001,6.213333333333335
1986-03-24,1.1846153846153846,3.9000000000000004,13.226666666666667,9.326666666666666
1986-03-25,5.743589743589744,1.1999999999999997,9.0,7.800000000000001
1986-03-26,4.865384615384615,0.08666666666666668,8.493333333333334,8.406666666666668
1986-03-27,5.46025641025641,0.7733333333333333,14.006666666666668,13.233333333333334
1986-03-28,5.487179487179487,2.893333333333333,16.293333333333337,13.400000000000004
1986-03-29,4.841025641025641,3.753333333333333,11.860000000000003,8.10666666666667
1986-03-30,4.607692307692307,1.5599999999999998,9.693333333333332,8.133333333333331
1986-03-31,4.667948717948718,4.246666666666667,14.846666666666668,10.600000000000001
1986-04-01,8.91923076923077,3.386666666666667,13.466666666666667,10.08
1986-04-02,5.771794871794872,5.113333333333333,15.206666666666667,10.093333333333334
1986-04-03,0.9269230769230768,4.526666666666667,11.78,7.253333333333332
1986-04-04,1.735897435897436,2.5333333333333328,6.966666666666667,4.433333333333334
1986-04-05,0.0,1.6733333333333333,4.72,3.0466666666666664
1986-04-06,0.8423076923076923,1.5266666666666666,8.446666666666667,6.920000000000001
1986-04-07,3.371794871794872,4.526666666666666,14.046666666666665,9.52
1986-04-08,4.112820512820513,5.553333333333332,16.046666666666667,10.493333333333336
1986-04-09,2.9166666666666665,5.24,13.793333333333335,8.553333333333335
1986-04-10,1.0115384615384615,1.4533333333333331,6.2,4.746666666666667
1986-04-11,0.04743589743589744,-1.1000000000000003,2.306666666666666,3.4066666666666663
1986-04-12,0.16153846153846152,-2.813333333333333,0.39333333333333337,3.2066666666666666
1986-04-13,7.019230769230769,-3.893333333333333,4.846666666666668,8.74
1986-04-14,6.601282051282052,-0.5933333333333335,10.446666666666665,11.04
1986-04-15,3.566666666666667,2.3200000000000003,12.066666666666666,9.746666666666666
1986-04-16,4.857692307692307,3.773333333333333,13.139999999999995,9.366666666666662
1986-04-17,0.9230769230769231,4.006666666666666,9.093333333333334,5.086666666666668
1986-04-18,1.782051282051282,2.2266666666666666,8.02,5.793333333333333
1986-04-19,3.6102564102564103,1.9733333333333332,8.586666666666668,6.613333333333335
1986-04-20,1.2474358974358972,2.26,7.713333333333334,5.453333333333334
1986-04-21,5.776923076923078,4.773333333333334,16.500000000000004,11.72666666666667
1986-04-22,0.8128205128205128,3.7866666666666666,12.726666666666665,8.939999999999998
1986-04-23,1.7487179487179487,3.893333333333333,12.359999999999998,8.466666666666665
1986-04-24,0.3282051282051282,5.933333333333334,11.306666666666668,5.373333333333335
1986-04-25,1.9615384615384615,6.573333333333333,14.973333333333334,8.400000000000002
1986-04-26,5.515384615384615,7.673333333333334,17.006666666666664,9.33333333333333
1986-04-27,0.2153846153846154,5.440000000000001,10.706666666666669,5.2666666666666675
1986-04-28,0.03333333333333333,5.166666666666667,9.659999999999998,4.493333333333331
1986-04-29,1.073076923076923,7.299999999999999,11.486666666666668,4.186666666666669
1986-04-30,2.6948717948717946,8.913333333333332,15.38,6.466666666666669
1986-05-01,6.3269230769230775,8.226666666666667,19.373333333333335,11.146666666666668
1986-05-02,6.932051282051281,8.42,22.24,13.819999999999999
1986-05-03,8.706410256410257,9.2,21.446666666666662,12.246666666666663
1986-05-04,3.3897435897435897,9.56,18.18666666666667,8.62666666666667
1986-05-05,1.9602564102564102,10.473333333333333,18.959999999999997,8.486666666666665
1986-05-06,7.333333333333333,9.453333333333331,21.40666666666667,11.953333333333338
1986-05-07,3.7628205128205128,8.666666666666668,18.700000000000003,10.033333333333335
1986-05-08,8.174358974358974,6.066666666666666,17.013333333333332,10.946666666666665
1986-05-09,3.0730769230769233,7.593333333333333,16.313333333333333,8.719999999999999
1986-05-10,10.680769230769231,6.8,21.133333333333333,14.333333333333332
1986-05-11,3.6628205128205127,9.226666666666667,20.7,11.473333333333333
1986-05-12,8.616666666666667,11.4,23.959999999999994,12.559999999999993
1986-05-13,6.751282051282051,11.986666666666666,24.74666666666667,12.760000000000003
1986-05-14,1.1871794871794872,11.42,18.726666666666667,7.306666666666667
1986-05-15,0.3128205128205128,10.346666666666668,15.96,5.613333333333333
1986-05-16,1.5576923076923077,10.053333333333335,18.313333333333333,8.259999999999998
1986-05-17,8.474358974358974,11.940000000000001,22.88666666666667,10.946666666666669
1986-05-18,6.9423076923076925,13.359999999999998,26.37333333333333,13.013333333333334
1986-05-19,3.3307692307692305,14.553333333333335,23.826666666666664,9.27333333333333
1986-05-20,8.315384615384614,13.74,26.673333333333332,12.933333333333332
1986-05-21,0.8884615384615384,13.18,21.246666666666666,8.066666666666666
1986-05-22,10.461538461538462,10.946666666666665,22.486666666666668,11.540000000000003
1986-05-23,6.634615384615385,11.773333333333335,24.513333333333332,12.739999999999997
1986-05-24,3.503846153846154,11.213333333333333,19.546666666666667,8.333333333333334
